object_id,ra,dec,period,power,amplitude,false_alarm_prob,n_points,var_type
229761376,281.33709716796875,65.92184448242188,2.773000859845228,0.011004247001210842,0.005157676291647428,3.0709811731088015e-21,10763,Eclipsing Binary
229761447,281.3730163574219,66.0719985961914,9.293948126801153,0.03986485336564496,0.009666502816542244,3.760214078748154e-90,10763,Eclipsing Binary
229761513,281.2383117675781,66.21661376953125,10.36977491961415,0.01245367382061431,0.004504459395153093,1.2239714485884608e-24,10763,Eclipsing Binary
229766703,281.5125427246094,66.01542663574219,3.280773143438454,0.046545003489668564,0.015367372179949546,1.9852821584761198e-106,10763,Eclipsing Binary
229766711,281.51416015625,66.00297546386719,0.1445734522795535,0.13052313801191276,0.011234129153924743,0.0,10763,δ Scuti
229766793,281.81402587890625,66.00580596923828,0.8727936151014967,0.017119104143679263,0.006497214192834666,1.2400552253201324e-35,10763,δ Scuti/SX Phe
229766854,281.998779296875,66.11590576171875,0.968347928705232,0.008114727671754219,0.016714181025872632,3.7916710814705165e-14,10564,δ Scuti/SX Phe
229772391,282.3284606933594,66.01232147216797,3.1648448326423595,0.002567142281569824,0.007745262892903226,0.09885794950091452,10763,Eclipsing Binary
229910008,287.39141845703125,60.72938537597656,3.0518202876998317,0.011306218839826068,0.012627893003379409,2.784783179362393e-20,10074,Eclipsing Binary
229910017,287.3595886230469,60.739498138427734,0.10849987652920777,0.011274490698789016,0.005841752885847762,7.135479342273281e-22,10763,δ Scuti
229910117,287.2382507324219,60.91141128540039,14.170633813590591,0.0034329707616014456,0.39482712711204704,0.0056673298204462565,9750,Eclipsing Binary
229910145,287.4137878417969,60.9495849609375,1.7820084834960317,0.0021723869945011656,0.009609888880162565,0.8673310171345354,9810,Rotational
229910234,287.4041748046875,61.06437683105469,1.8936232746268975,0.27039993115607025,0.1980522402277738,0.0,10093,Eclipsing Binary
229910436,287.2312927246094,61.3674430847168,9.82117882117882,0.002143517474640602,0.008914029013512015,0.9180704935430914,9727,Eclipsing Binary
229910483,287.33843994140625,61.43271255493164,2.0827085564679284,0.0029486924136629795,0.008976374870474424,0.05336169547085189,9768,Rotational
229910614,287.3584899902344,61.62767028808594,2.188754573458925,0.003094211046076424,0.016317177246791603,0.02747765030052599,9760,Rotational
229910635,287.37835693359375,61.65605545043945,3.8221538700381332,0.001813908481410037,0.009361191806195657,0.9999826359760356,9784,Eclipsing Binary
229910644,287.2691650390625,61.672279357910156,0.42122453364059215,0.056179306260050445,0.0089375447098905,4.876333635155229e-118,9797,δ Scuti/SX Phe
229910721,287.1789855957031,61.78289031982422,1.7527188447138529,0.0629616075068894,0.018855430072581614,1.508256638003189e-132,9740,Rotational
229910746,287.3494873046875,61.83779525756836,1.250823889357678,0.21977270131235574,0.19678957563951116,0.0,9925,Eclipsing Binary
